契約,到期月份 (週別),契約到期日,履約價,買賣權,開盤價,最高價,最低價,最後 成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷 契約量,最後 最佳買價,最後 最佳賣價,歷史 最高價,歷史 最低價
TXO,202606,20260617.0,20200.0,Call,25270,25490,25140,25490,-,▼-70,▼-0.27%,2,71,73,363,25460,25480,26710,7850
TXO,202606,20260617.0,20200.0,Put,0.1,0.2,0.1,0.1,-,0,-,26,15,41,4480,-,0.2,485,0.1
TXO,202606,20260617.0,20400.0,Call,-,-,-,-,-,-,-,0,0,0,3,25260,25280,24570,7720
TXO,202606,20260617.0,20400.0,Put,-,-,-,-,-,-,-,0,0,0,382,-,80,371,0.1
TXO,202606,20260617.0,20600.0,Call,-,-,-,-,-,-,-,0,0,0,1,25060,25080,8550,8550
TXO,202606,20260617.0,20600.0,Put,-,-,-,-,-,-,-,0,0,0,118,-,13,399,0.2
TXO,202606,20260617.0,20800.0,Call,-,-,-,-,-,-,-,0,0,0,1,24860,24880,8360,8360
TXO,202606,20260617.0,20800.0,Put,-,-,-,-,-,-,-,0,0,0,117,-,10,377,0.3
TXO,202606,20260617.0,21000.0,Call,-,-,-,-,-,-,-,0,0,0,2,24660,24680,8170,7160
TXO,202606,20260617.0,21000.0,Put,-,-,-,-,-,-,-,0,0,0,119,-,224,460,0.2
TXO,202606,20260617.0,21200.0,Call,-,-,-,-,-,-,-,0,0,0,1,24460,24480,15390,10980
TXO,202606,20260617.0,21200.0,Put,-,-,-,-,-,-,-,0,0,0,82,-,0.3,427,0.2
TXO,202606,20260617.0,21400.0,Call,-,-,-,-,-,-,-,0,0,0,0,24260,24280,-,-
TXO,202606,20260617.0,21400.0,Put,-,-,-,-,-,-,-,0,0,0,20,-,50,350,0.3
TXO,202606,20260617.0,21600.0,Call,-,-,-,-,-,-,-,0,0,0,0,24060,24080,-,-
TXO,202606,20260617.0,21600.0,Put,-,-,-,-,-,-,-,0,0,0,11,-,224,580,5
TXO,202606,20260617.0,21800.0,Call,-,-,-,-,-,-,-,0,0,0,1,23860,23880,24820,15750
TXO,202606,20260617.0,21800.0,Put,-,-,-,-,-,-,-,0,0,0,18,-,10.5,610,0.2
TXO,202606,20260617.0,22000.0,Call,-,-,-,-,-,-,-,0,0,0,1,23660,23680,6050,6050
TXO,202606,20260617.0,22000.0,Put,-,-,-,-,-,-,-,0,0,0,307,-,10,690,0.2
TXO,202606,20260617.0,22200.0,Call,-,-,-,-,-,-,-,0,0,0,1,23460,23480,5090,5090
TXO,202606,20260617.0,22200.0,Put,-,-,-,-,-,-,-,0,0,0,10,-,224,665,0.3
TXO,202606,20260617.0,22400.0,Call,-,-,-,-,-,-,-,0,0,0,0,23260,23280,-,-
TXO,202606,20260617.0,22400.0,Put,-,-,-,-,-,-,-,0,0,0,43,-,224,720,3
TXO,202606,20260617.0,22600.0,Call,-,-,-,-,-,-,-,0,0,0,0,23060,23080,19870,9040
TXO,202606,20260617.0,22600.0,Put,-,-,-,-,-,-,-,0,0,0,115,-,100,720,2
TXO,202606,20260617.0,22800.0,Call,-,-,-,-,-,-,-,0,0,0,1,22860,22880,19940,3620
TXO,202606,20260617.0,22800.0,Put,-,-,-,-,-,-,-,0,0,0,65,-,5,800,0.2
TXO,202606,20260617.0,23000.0,Call,-,-,-,-,-,-,-,0,0,0,1,22660,22680,5150,5150
TXO,202606,20260617.0,23000.0,Put,-,-,-,-,-,-,-,0,0,0,90,-,224,880,0.2
