"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"3583","辛耘","888","-41","-4.41","05/15","+1","+60","1.69","0.07","+12","+2,610","5.34","3.25","+1","0","0","0","+1","+255","7.17","0.32"
"1785","光洋科","153","+4","+2.68","05/15","+1","+2,017","7.58","0.34","+10","+1,357","0.32","0.23","-6","-576","-0.28","-0.1","+1","+2,240","8.42","0.38"
"2344","華邦電","129.5","-4.5","-3.36","05/15","+5","+89,203","6.46","1.98","+10","+80,253","3.17","1.78","+2","+2,554","0.33","0.06","+5","+152,832","11.1","3.4"
"8210","勤誠","1410","-50","-3.42","05/15","-4","-1,811","-14.4","-1.45","+10","+5,208","13.1","4.16","+1","+8","0.49","0.01","+1","+202","12.1","0.16"
"2303","聯電","110","+2","+1.85","05/15","+2","+33,873","4.53","0.27","+9","+107,795","4.09","0.86","-1","-3,259","-0.79","-0.03","+2","+78,546","10.5","0.62"
"5269","祥碩","1455","-10","-0.68","05/15","-3","-1,902","-14.5","-2.54","+8","+293","1.01","0.39","-1","-30","-0.95","-0.04","-3","-2,062","-15.7","-2.76"
"6415","矽力*-KY","468","-35","-6.96","05/15","-1","-704","-5.86","-0.18","+8","+1,395","2.58","0.36","-1","-149","-1.24","-0.04","-1","-752","-6.26","-0.19"
"00935","野村臺灣新科技50","53.2","-1.5","-2.74","05/15","-4","-3,167","-6.22","-0.56","+6","+1,227","1.54","0.22","-1","-2,913","-21.6","-0.52","-7","-19,841","-21.3","-3.51"
"3017","奇鋐","2455","-100","-3.91","05/15","-2","-1,783","-12.9","-0.46","+6","+3,447","9.26","0.89","-2","-264","-1.91","-0.07","-2","-1,569","-11.4","-0.4"
"2049","上銀","392.5","+18","+4.81","05/15","+2","+765","3.53","0.22","+5","+1,922","3.29","0.54","+2","+91","0.42","0.03","+2","+1,889","8.72","0.53"
"2345","智邦","2505","-170","-6.36","05/15","-1","-2,031","-28.9","-0.36","+5","+2,733","8.1","0.49","-5","-368","-1.09","-0.07","-1","-1,517","-21.6","-0.27"
"1560","中砂","642","-8","-1.23","05/15","+1","+10","0.4","0.01","+4","+138","0.87","0.09","-1","-92","-3.71","-0.06","-3","-3,018","-29.8","-2.06"
"1605","華新","34.9","-0.7","-1.97","05/15","+3","+11,364","6.48","0.26","+4","+4,576","2.1","0.1","+3","+2,220","1.27","0.05","+3","+17,013","9.7","0.38"
"2330","台積電","2265","-5","-0.22","05/15","-1","-3,399","-9.89","-0.01","+4","+23,596","13.7","0.09","-3","-1,898","-1.61","-0.01","-1","-33","-0.1","0"
"2481","強茂","117.5","+2","+1.73","05/15","-1","-1,783","-3.8","-0.47","+4","+4,077","1.63","1.07","+1","+526","1.12","0.14","-1","-748","-1.59","-0.2"
"2542","興富發","43.75","+0.6","+1.39","05/15","+3","+12,772","20.7","0.59","+4","+626","0.91","0.03","-2","-222","-0.69","-0.01","+3","+13,202","21.3","0.61"
"7750","新代","2555","-190","-6.92","05/15","+1","+298","33.4","0.42","+4","+10","0.31","0.01","-1","-19","-2.08","-0.03","+1","+282","31.6","0.39"
"1215","卜蜂","140","+1.5","+1.08","05/15","-47","-21,614","-37.2","-7.33","+3","+440","8.88","0.15","+16","+1,169","4.44","0.4","+1","+35","1.48","0.01"
"2467","志聖","587","-23","-3.77","05/15","-2","-495","-9.48","-0.32","+3","+81","0.94","0.05","-13","-761","-1.58","-0.49","-3","-564","-6.48","-0.36"
"2472","立隆電","217","-14.5","-6.26","05/15","-2","-2,345","-7.29","-1.42","+3","+239","0.55","0.15","-2","-282","-0.88","-0.17","-2","-2,399","-7.46","-1.46"
"3030","德律","395","-7.5","-1.86","05/15","-2","-108","-4.06","-0.05","+3","+74","1.83","0.03","-1","-13","-0.9","-0.01","+1","+10","0.65","0"
"3624","光頡","76.2","+3","+4.1","05/15","+1","+6,074","18","5.18","+3","+3,679","7.13","3.14","-1","-115","-0.34","-0.1","+6","+14,356","16.9","12.2"
"5536","聖暉*","1025","+15","+1.49","05/15","+3","+2,726","24.9","2.2","+3","+569","5.19","0.46","-2","-95","-1.31","-0.08","+3","+3,276","29.9","2.64"
"5904","寶雅","546","-7","-1.27","05/15","-2","-98","-9.72","-0.09","+3","+13","1.01","0.01","-1","-3","-0.34","0","+1","+1","0.15","0"
"6139","亞翔","693","-27","-3.75","05/15","-1","-632","-9.45","-0.27","+3","+192","0.95","0.08","-1","-131","-1.96","-0.06","-1","-629","-9.41","-0.27"
"6278","台表科","220.5","-5.5","-2.43","05/15","-11","-24,703","-9.82","-8.45","+3","+6,194","7.49","2.12","-4","-4,124","-4.04","-1.41","-1","-5,157","-11.9","-1.76"
"6488","環球晶","710","-78","-9.9","05/15","-1","-450","-11.7","-0.09","+3","+226","2.02","0.05","-2","-210","-3.19","-0.04","-1","-512","-13.3","-0.11"
"6531","愛普*","1080","+30","+2.86","05/15","-2","-3,099","-15.5","-1.9","+3","+4,591","14.6","2.82","-1","-11","-0.11","-0.01","+1","+1,126","11.9","0.69"
"6782","視陽","189","-1","-0.53","05/15","-7","-2,038","-43.6","-3.24","+3","+247","19.5","0.39","-2","-23","-2.37","-0.04","-7","-1,761","-37.6","-2.8"
