"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.73","-0.08","-0.28","26W20","05/12","+52","+617,123","43.2","90.1","0","0","0","0","+1","+270","5.89","0.04","+18","+273,785","46.4","40"
"00717","富邦美國特別股","15.15","0","0","26W20","05/12","+46","+20,111","57.2","14.4","0","0","0","0","+1","+47","4.52","0.03","+11","+9,487","75.6","6.8"
"00857B","永豐20年美公債","23.05","-0.05","-0.22","26W20","05/12","+27","+141,645","42.2","23.9","0","0","0","0","+2","+374","2.22","0.06","+27","+141,119","42","23.8"
"00733","富邦臺灣中小","68.7","+0.4","+0.59","26W20","05/12","+20","+27,787","17.6","35.9","0","0","0","0","-1","-47","-0.91","-0.06","+35","+84,564","36.9","109"
"3209","全科","66.5","+6","+9.92","26W20","05/12","+19","+35,019","14.7","14.9","+1","+126","0.85","0.05","+1","+62","0.42","0.03","+2","+3,738","12","1.59"
"00931B","統一美債20年","13.33","-0.05","-0.37","26W20","05/12","+17","+237,244","55.2","10.7","0","0","0","0","+2","+2,721","9.51","0.12","+17","+274,535","63.9","12.4"
"6234","高僑","55.5","+1.5","+2.78","26W20","05/12","+17","+6,191","3.13","6.17","0","0","0","0","+1","+6","0.11","0.01","+1","+467","8.43","0.46"
"1463","強盛新","18.1","-0.15","-0.82","26W20","05/12","+15","+3,359","45.5","1.94","0","0","0","0","-1","0","-0.39","0","+15","+3,358","45.5","1.94"
"006205","富邦上証","42.15","+0.33","+0.79","26W20","05/12","+14","+3,898","9.82","3.82","0","0","0","0","+2","+457","14.2","0.45","+14","+6,755","17","6.63"
"00898","國泰基因免疫革命","8.07","+0.01","+0.12","26W20","05/12","+14","+18,566","47.9","11.5","0","0","0","0","-1","-95","-9.92","-0.06","+14","+18,447","47.6","11.4"
"910322","康師傅-DR","24.85","0","0","26W20","05/12","+14","+810","66","3.83","0","0","0","0","0","0","0","0","+14","+810","66","3.83"
"00694B","富邦美債1-3","41.36","+0.06","+0.15","26W20","05/12","+13","+8,665","31.5","5.02","0","0","0","0","-15","-10,196","-32.1","-5.91","-2","-531","-13.8","-0.31"
