"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","92.5","-0.6","-0.64","26W21","05/20","-4","-412,905","-21.3","-2.2","+16","+107,204","1.07","0.57","-6","-267,729","-8.92","-1.43","-4","-607,603","-31.3","-3.24"
"6640","均華","1250","-40","-3.1","26W21","05/20","+1","+115","10.8","0.4","+8","+744","2.77","2.61","-1","-13","-1.25","-0.05","+1","+108","10.1","0.38"
"6715","嘉基","481","-3","-0.62","26W21","05/20","+3","+1,238","6.13","1.85","+8","+4,178","6.87","6.23","+1","+3","0.06","0","+3","+2,488","12.3","3.71"
"6679","鈺太","314","+7.5","+2.45","26W21","05/20","+1","+4","0.24","0.01","+7","+158","0.74","0.29","+1","+19","1.17","0.03","+1","+39","2.39","0.07"
"2072","世紀風電","169","-5.5","-3.15","26W21","05/20","-1","-570","-39.8","-0.3","+6","+814","4.8","0.42","-1","-5","-0.35","0","-1","-565","-39.4","-0.29"
"3711","日月光投控","476","+4","+0.85","26W21","05/20","-6","-44,171","-6.35","-1","+6","+23,479","3.38","0.53","-1","-52","-0.06","0","-1","-9,854","-11","-0.22"
"6531","愛普*","973","-52","-5.07","26W21","05/20","+1","+146","0.68","0.09","+6","+6,589","3.17","4.05","-1","-97","-0.45","-0.06","+2","+1,654","2.53","1.02"
"8210","勤誠","1285","-40","-3.02","26W21","05/20","+1","+118","3.2","0.09","+6","+7,036","7.35","5.61","-2","-254","-1.27","-0.2","+3","+2,941","6.78","2.35"
"2330","台積電","2185","-20","-0.91","26W21","05/20","-4","-158,341","-20.7","-0.61","+5","+53,528","5.59","0.21","+1","+8","0.01","0","-2","-44,728","-13.4","-0.17"
"3026","禾伸堂","394.5","+29.5","+8.08","26W21","05/20","+3","+4,996","3.77","3.01","+5","+10,869","5.7","6.55","-1","-211","-3.1","-0.13","+3","+15,157","11.4","9.14"
"2204","中華","52.2","+0.2","+0.38","26W21","05/20","-7","-12,168","-28.7","-2.2","+4","+2,620","10.8","0.47","+1","+9","0.31","0","-2","-6,154","-44.3","-1.11"
"2313","華通","255","-1","-0.39","26W21","05/20","+1","+16,770","5.04","1.41","+4","+8,996","0.6","0.75","-3","-4,930","-0.42","-0.41","+1","+19,989","6.01","1.68"
"2327","國巨*","520","+23","+4.63","26W21","05/20","-2","-27,631","-4.86","-1.33","+4","+53,685","5.34","2.59","-1","-1,804","-0.68","-0.09","+4","+54,335","5.41","2.62"
"2344","華邦電","115.5","-2","-1.7","26W21","05/20","-1","-55,392","-10.5","-1.23","+4","+101,467","2.67","2.25","-1","-6,958","-1.32","-0.15","-1","-46,921","-8.88","-1.04"
"2727","王品","234.5","+0.5","+0.21","26W21","05/20","-1","-19","-1.92","-0.02","+4","+403","5.2","0.49","-2","-3","-0.08","0","-1","-8","-0.84","-0.01"
"2731","雄獅","160","-0.5","-0.31","26W21","05/20","-10","-13,976","-36.8","-15","+4","+1,323","8.41","1.42","+1","+2","0.09","0","-10","-13,263","-34.9","-14.2"
"3583","辛耘","826","-16","-1.9","26W21","05/20","-6","-4,738","-5.55","-5.9","+4","+2,545","4.14","3.17","-2","-207","-0.66","-0.26","+1","+12","0.2","0.01"
"3592","瑞鼎","256","+7.5","+3.02","26W21","05/20","+1","+293","18.2","0.39","+4","+1,304","6.56","1.72","+1","+19","1.21","0.03","+1","+324","20.1","0.43"
"3706","神達","80.3","-0.4","-0.5","26W21","05/20","-2","-29,890","-25.9","-2.25","+4","+5,901","2.4","0.44","+1","+410","1.68","0.03","-2","-25,238","-21.9","-1.9"
"4746","台耀","51.6","0","0","26W21","05/20","-3","-2,671","-17.8","-2.22","+4","+2,282","11","1.9","-2","-12","-0.13","-0.01","-2","-1,375","-15.9","-1.14"
"4966","譜瑞-KY","757","+29","+3.98","26W21","05/20","+3","+5,191","8.2","6.57","+4","+5,274","7.16","6.68","-1","-77","-1.73","-0.1","+3","+10,818","17.1","13.7"
"5269","祥碩","1385","+5","+0.36","26W21","05/20","-2","-2,202","-7.98","-2.94","+4","+348","0.78","0.47","+1","+9","0.18","0.01","-2","-2,046","-7.42","-2.74"
"5439","高技","364.5","-14.5","-3.83","26W21","05/20","-1","-683","-5.05","-0.73","+4","+4,052","3.65","4.36","-2","-177","-0.36","-0.19","-1","-762","-5.64","-0.82"
"5534","長虹","75.6","+0.1","+0.13","26W21","05/20","-6","-8,458","-34.8","-2.68","+4","+2,516","18.3","0.8","-2","-74","-1.03","-0.02","-6","-6,292","-25.9","-2"
"6223","旺矽","5680","-50","-0.87","26W21","05/20","+2","+539","4.08","0.55","+4","+884","3.57","0.9","-2","-125","-0.95","-0.13","+4","+1,727","6.97","1.76"
"6768","志強-KY","84.3","-1.1","-1.29","26W21","05/20","-5","-2,580","-13.5","-1.29","+4","+1,688","11.5","0.84","-2","-15","-0.22","-0.01","-2","-876","-13.3","-0.44"
"6830","汎銓","684","-28","-3.93","26W21","05/20","-1","-21","-0.41","-0.04","+4","+278","0.59","0.52","-3","-295","-0.83","-0.55","-1","-88","-1.68","-0.16"
"7769","鴻勁","6980","+380","+5.76","26W21","05/20","-2","-148","-1.61","-0.08","+4","+1,383","6.48","0.77","-1","-22","-1.35","-0.01","-1","-48","-2.92","-0.03"
"8028","昇陽半導體","258.5","-3.5","-1.34","26W21","05/20","+2","+10,242","6.79","5.71","+4","+2,604","0.86","1.45","-1","-591","-1.22","-0.33","+2","+10,563","7.01","5.89"
"8261","富鼎","149","+13.5","+9.96","26W21","05/20","+2","+3,980","5.37","3.35","+4","+129","0.12","0.11","+3","+278","0.29","0.23","+2","+4,278","5.78","3.6"
"0056","元大高股息","44.04","+0.03","+0.07","26W21","05/20","+1","+8,424","5.84","0.06","+3","+3,695","0.4","0.03","+4","+306,369","24.5","2.23","+4","+546,654","43.7","3.98"
"00646","元大S&P500","73.2","-0.2","-0.27","26W21","05/20","+1","+78","0.61","0.01","+3","+719","1.22","0.13","-1","-7,473","-58.6","-1.36","-1","-6,967","-54.6","-1.27"
"00935","野村臺灣新科技50","51.15","-0.15","-0.29","26W21","05/20","-2","-5,359","-5.28","-0.93","+3","+2,164","1.16","0.37","-6","-74,740","-21.9","-12.9","-6","-84,169","-24.7","-14.6"
"2303","聯電","108","-5","-4.42","26W21","05/20","-1","-112,422","-14.7","-0.89","+3","+176,689","4.85","1.4","-1","-5,784","-0.76","-0.05","-1","-43,976","-5.74","-0.35"
"2393","億光","63.4","+1","+1.6","26W21","05/20","-2","-12,478","-33.7","-2.81","+3","+2,671","4.82","0.6","+2","+948","2.56","0.21","-2","-11,149","-30.1","-2.51"
"2401","凌陽","26.9","+1.95","+7.82","26W21","05/20","+6","+30,539","10.9","5.16","+3","+185","0.15","0.03","+1","+885","2","0.15","+6","+32,145","11.5","5.43"
"2412","中華電","139","-3.5","-2.46","26W21","05/20","+2","+15,440","11","0.2","+3","+10,254","5.39","0.13","+3","+1,038","0.55","0.01","+2","+25,787","18.3","0.33"
"2436","偉詮電","71.8","+2.3","+3.31","26W21","05/20","+1","+1,637","14.2","0.82","+3","+64","0.06","0.03","+1","+3","0.03","0","+1","+1,665","14.4","0.83"
"2542","興富發","43.7","0","0","26W21","05/20","+5","+45,282","13.5","2.08","+3","+692","0.4","0.03","+1","+535","1.35","0.02","+4","+38,200","16.1","1.76"
"2891C","中信金丙特","62.3","0","0","26W21","05/20","0","0","0","0","+3","+156","17.6","0.09","-3","-213","-24","-0.13","-2","-91","-11.5","-0.05"
"3228","金麗科","198","+18","+10","26W21","05/20","+4","+935","4.61","1.31","+3","+13","0.08","0.02","-2","-75","-0.74","-0.11","+6","+1,330","3.75","1.86"
"3374","精材","231","-6","-2.53","26W21","05/20","-1","-7,359","-15.1","-2.71","+3","+673","0.25","0.25","-1","-2,223","-4.55","-0.82","-1","-9,500","-19.5","-3.5"
"3481","群創","36.95","-0.5","-1.34","26W21","05/20","-1","-58,504","-2.56","-0.73","+3","+3,821","0.04","0.05","-1","-9,642","-0.42","-0.12","-1","-67,029","-2.93","-0.84"
"4919","新唐","165","+15","+10","26W21","05/20","-4","-17,492","-4.59","-4.17","+3","+1,419","0.4","0.34","+1","+353","0.55","0.08","-4","-16,586","-4.35","-3.95"
"5314","世紀*","67.6","+6.1","+9.92","26W21","05/20","+1","+1,439","8.94","0.49","+3","+11","0.02","0","+1","+10","0.06","0","+1","+1,453","9.03","0.5"
"5347","世界","159","+1.5","+0.95","26W21","05/20","+1","+103,498","32.6","5.54","+3","+29,963","3.9","1.6","+2","+2,319","0.44","0.12","+4","+143,489","15.5","7.68"
"5904","寶雅","557","+4","+0.72","26W21","05/20","-2","-327","-9.79","-0.31","+3","+113","2.07","0.11","-1","-7","-0.51","-0.01","-2","-253","-7.58","-0.24"
"6196","帆宣","404","-1","-0.25","26W21","05/20","+1","+167","2.95","0.08","+3","+714","1.53","0.32","-2","-41","-0.14","-0.02","+1","+425","7.5","0.19"
"6202","盛群","55.6","+3.3","+6.31","26W21","05/20","+4","+5,117","8.5","2.22","+3","+419","0.87","0.18","-2","-6","-0.02","0","+4","+5,599","9.3","2.43"
"6462","神盾","134.5","+3.5","+2.67","26W21","05/20","+3","+4,057","10.8","4.45","+3","+49","0.13","0.05","+1","+38","0.3","0.04","+3","+4,210","11.2","4.61"
"6488","環球晶","638","-27","-4.06","26W21","05/20","-1","-2,931","-20.7","-0.61","+3","+3,989","3.16","0.83","+3","+1,346","1.07","0.28","-1","-2,064","-14.5","-0.43"
"6533","晶心科","216.5","+2","+0.93","26W21","05/20","+1","+130","5.32","0.26","+3","+32","0.21","0.06","-2","-15","-0.17","-0.03","+1","+153","6.23","0.3"
"6831","邁科","720","-13","-1.77","26W21","05/20","+2","+2,042","14.7","3.03","+3","+822","3.28","1.22","-1","-22","-1.11","-0.03","+2","+2,818","20.3","4.18"
"7749","意騰-KY","475.5","-6.5","-1.35","26W21","05/20","-3","-1,006","-6.05","-2.16","+3","+208","1.25","0.45","+7","+102","0.47","0.22","-3","-729","-4.38","-1.57"
"8454","富邦媒","194.5","-5","-2.51","26W21","05/20","-1","-141","-5.22","-0.05","+3","+613","5.24","0.23","+1","+1","0.05","0","-1","-124","-4.58","-0.05"
"00679B","元大美債20年","26.08","-0.14","-0.53","26W21","05/20","+5","+134,047","19.1","1.83","+2","+400","0.13","0.01","+23","+987,636","22.7","13.5","+28","+1,671,596","32.8","22.8"
"00687B","國泰20年美債","27.12","-0.14","-0.51","26W21","05/20","+5","+142,608","26","2.51","+2","+400","0.18","0.01","+20","+715,929","22.1","12.6","+22","+1,799,778","51.5","31.7"
"00713","元大台灣高息低波","55","-0.3","-0.54","26W21","05/20","+4","+15,733","5.43","0.82","+2","+1,855","1.43","0.1","+42","+857,811","40","45","+25","+730,085","54.3","38.3"
"00795B","中信美國公債20年","26.03","-0.13","-0.5","26W21","05/20","+5","+52,938","30.5","2.97","+2","+150","0.2","0.01","+1","+670","2.44","0.04","+9","+87,199","24.8","4.89"
"1582","信錦","107","-10","-8.55","26W21","05/20","+2","+7,772","7.27","5.39","+2","+2,275","2.13","1.58","+3","+439","0.35","0.3","+2","+10,329","9.66","7.16"
"1605","華新","33.1","-0.3","-0.9","26W21","05/20","-1","-14,170","-17.2","-0.32","+2","+6,379","1.7","0.14","+4","+6,667","0.87","0.15","-1","-12,056","-14.7","-0.27"
"2049","上銀","359.5","-16.5","-4.39","26W21","05/20","-1","-1,285","-5.43","-0.36","+2","+2,405","2.93","0.68","-1","-495","-2.09","-0.14","-1","-1,297","-5.48","-0.37"
"2345","智邦","2355","-35","-1.46","26W21","05/20","-1","-906","-7.7","-0.16","+2","+3,334","7.33","0.59","-2","-506","-1.11","-0.09","-1","-443","-3.76","-0.08"
"2376","技嘉","302","-3","-0.98","26W21","05/20","-1","-6,870","-7.91","-1.03","+2","+3,882","2.28","0.58","-1","-1,444","-1.66","-0.22","-1","-4,475","-5.15","-0.67"
"2481","強茂","133","-2","-1.48","26W21","05/20","-1","-1,889","-0.94","-0.49","+2","+7,839","1.62","2.05","+4","+4,103","0.63","1.07","+3","+40,404","7.18","10.6"
"2489","瑞軒","42.55","+1.05","+2.53","26W21","05/20","+2","+5,209","2.07","0.85","+2","+881","0.35","0.14","-4","-10,236","-1.25","-1.68","+2","+4,257","1.69","0.7"
"2492","華新科","242","+22","+10","26W21","05/20","+3","+43,079","13.1","8.87","+2","+4,317","2.17","0.89","+4","+1,931","0.53","0.4","+3","+49,046","14.9","10.1"
"3004","豐達科","123","-1.5","-1.2","26W21","05/20","-4","-953","-7.35","-1.48","+2","+200","2.97","0.31","-2","-19","-0.28","-0.03","-4","-743","-5.73","-1.15"
"3008","大立光","3200","-165","-4.9","26W21","05/20","+3","+3,146","9.38","2.4","+2","+841","3.07","0.64","-1","-250","-2.15","-0.19","+3","+4,011","12","3.07"
"3017","奇鋐","2340","-50","-2.09","26W21","05/20","-6","-11,983","-8.12","-3.09","+2","+3,764","8.72","0.97","-2","-412","-0.95","-0.11","-4","-9,871","-9.48","-2.54"
"3028","增你強","84.4","+2.6","+3.18","26W21","05/20","+1","+1,464","5.69","0.62","+2","+301","0.47","0.13","+1","+45","0.17","0.02","+1","+1,543","6","0.65"
"3036","文曄","279","+14","+5.28","26W21","05/20","-4","-32,033","-13.1","-2.52","+2","+23,382","14.1","1.84","+1","+547","1.33","0.04","-1","-2,502","-6.06","-0.2"
"3037","欣興","823","+5","+0.61","26W21","05/20","+1","+52","0.08","0","+2","+7,334","3.44","0.46","-4","-5,325","-1.05","-0.34","-1","-464","-0.7","-0.03"
"3090","日電貿","178.5","+16","+9.85","26W21","05/20","+1","+3,589","3.7","1.25","+2","+6,868","3.7","2.39","-1","-248","-0.26","-0.09","+1","+8,329","8.59","2.9"
"3227","原相","223.5","+5","+2.29","26W21","05/20","+3","+4,688","13.5","3.11","+2","+458","2.16","0.3","-2","-255","-1.2","-0.17","+3","+4,774","13.8","3.17"
"3491","昇達科","1755","-10","-0.57","26W21","05/20","-1","-363","-2.92","-0.53","+2","+432","1.69","0.63","+1","+33","0.26","0.05","-1","-220","-1.77","-0.32"
"3624","光頡","90","-1.2","-1.32","26W21","05/20","-1","-4,123","-3.28","-3.51","+2","+6,654","3.33","5.67","+3","+1,091","0.49","0.93","-1","-1,052","-0.84","-0.9"
"4938","和碩","77.2","+0.3","+0.39","26W21","05/20","-2","-36,483","-31.8","-1.36","+2","+2,184","1.9","0.08","-4","-2,720","-1.35","-0.1","-2","-35,750","-31.1","-1.33"
"5222","全訊","122.5","+0.5","+0.41","26W21","05/20","-2","-954","-18","-1.05","+2","+4","0.08","0","-2","-104","-1.96","-0.11","-2","-1,053","-19.9","-1.16"
"5536","聖暉*","916","-28","-2.97","26W21","05/20","+2","+2,410","11.7","1.94","+2","+484","2.35","0.39","-1","-141","-2.33","-0.11","-1","-29","-0.48","-0.02"
"6146","耕興","216.5","+3.5","+1.64","26W21","05/20","+1","+127","14.2","0.12","+2","+291","7.59","0.29","-1","-9","-1.02","-0.01","+2","+266","6.93","0.26"
"6147","頎邦","215.5","+13","+6.42","26W21","05/20","-2","-10,844","-2.16","-1.46","+2","+21,858","4.36","2.94","-3","-7,107","-0.89","-0.95","+1","+10,689","4.18","1.44"
"6278","台表科","203","-12.5","-5.8","26W21","05/20","-3","-28,289","-9.52","-9.67","+2","+13,319","6.78","4.55","-2","-4,496","-2.29","-1.54","-4","-21,397","-6.58","-7.32"
"6415","矽力*-KY","507","+25","+5.19","26W21","05/20","-2","-1,265","-1.53","-0.33","+2","+2,895","3.5","0.75","+1","+198","0.54","0.05","+6","+19,837","8.76","5.11"
"6515","穎崴","9080","-410","-4.32","26W21","05/20","-1","-76","-8.24","-0.21","+2","+201","7.45","0.56","-7","-123","-1.14","-0.34","-1","-4","-0.49","-0.01"
"6770","力積電","57.8","-0.7","-1.2","26W21","05/20","-1","-54,740","-15.4","-1.29","+2","+3,106","0.21","0.07","-2","-1,897","-0.13","-0.04","-1","-54,973","-15.5","-1.3"
"6782","視陽","190.5","-2.5","-1.3","26W21","05/20","-3","-2,477","-33.4","-3.93","+2","+427","11.6","0.68","-2","-36","-0.98","-0.06","-4","-2,044","-23.4","-3.24"
"6962","奕力-KY","38.1","+2.15","+5.98","26W21","05/20","+3","+1,678","2.45","0.34","+2","+36","0.1","0.01","+3","+129","0.19","0.03","+3","+1,839","2.68","0.37"
"7734","印能科技","3345","+10","+0.3","26W21","05/20","+1","+146","12","0.52","+2","+152","3.4","0.54","-2","-39","-0.87","-0.14","+1","+138","11.3","0.49"
"8069","元太","230","+8","+3.6","26W21","05/20","+3","+51,172","19.9","4.43","+2","+10,971","5.88","0.95","+1","+148","0.74","0.01","+3","+62,806","24.4","5.44"
"8996","高力","994","-46","-4.42","26W21","05/20","+1","+228","2.88","0.24","+2","+1,216","5.91","1.3","-3","-145","-0.36","-0.16","+1","+243","3.07","0.26"
"9917","中保科","113","0","0","26W21","05/20","-2","-1,218","-30.3","-0.27","+2","+225","5.6","0.05","+3","+62","1.03","0.01","-5","-1,505","-14.3","-0.33"
